n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal
1,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0330404544073075,-0.0880553658766387,-0.0339791246633859,0.0,1,82.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.9330234156298396,-83.05114854283174,-10.58526020087429,0.0534334379406533,-0.0794474142693441,-0.0288613249134124,0.0,1,80.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,-9.297767147825963,-81.32127529560256,-14.435676898838866,-0.0129978570685068,-0.0657708990144894,-0.0741973352247403,0.0,3,4.442849733796384,-16.5237562,78.02050626,19.3201827,0.014316075880000001,-0.0599577237,-0.07585652449000001
4,1.0,-10.952090593556813,-81.12721850615644,-14.462321588173,-0.0124669276611478,-0.094318042311267,-0.0308006917010275,0.0,1,237.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,-15.40626935935533,-82.78529413835926,-5.903711955711073,-0.0338768047036334,-0.0934958539716868,-0.0105303083134774,0.0,3,159.3803578356488,-21.288057749999997,65.13733312000001,-33.94962332,0.17476037049999998,0.003633141772,0.02524002754
6,1.0,-2.2996170921595733,-81.84310073631656,-14.228940393893048,0.0717329255518991,-0.0152617747149491,-0.0679813623305376,0.0,3,46.40375945601888,12.01167276,-35.3299319,51.651771630000006,-0.012348617360000001,-0.005952322635,-0.08523169462
7,1.0,-2.8540632628833835,-83.21780316339446,-9.808883074287545,0.0399508708683759,-0.087441689652857,-0.0275295991164382,0.0,1,77.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,-11.664905362200209,-82.57282464626886,-9.639867668165545,-0.0846754925195232,-0.0404712873250487,-0.0345273206146888,0.0,3,12.437730520833973,-24.41342533,-9.194100091000001,54.92189117,-0.08489186034,0.007857264054,-0.05474993928
9,1.0,-11.315271176868588,-81.05590442636367,-14.53190716970884,-0.0343937015284455,-0.0523699118202831,-0.0779388582871725,0.0,1,73.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,-12.741856520299526,-79.76870108389278,-17.1133699086914,-0.0432759675125049,0.0075565028565795,-0.0898336790988498,0.0,2,38.06938214120351,221.50558840000002,277.4910319,144.1912768,-0.1834056274,-0.1328389197,-0.1833111685
11,1.0,-4.734777398339827,-82.29428006208663,-12.692574209556492,0.0040474246001287,-0.0937639286468587,-0.0345245425576219,0.0,2,115.012166863426,282.9472055,288.2531705,-19.66913118,-0.08442896075,0.008460563912,0.1947481444
