n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal
17,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.020247190460798,-0.0539603282092041,-0.0208224075937229,0.0,3,0.09485783564823645,8.201913994,-76.22481762000001,-24.161076870000002,0.01943674726,0.05514123183,0.02349686981
18,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0202736228243239,-0.0540307725019055,-0.0208495908934536,0.0,3,0.09518422453767723,7.678235333,-76.26600791,-24.21939933,0.01953509997,0.05516428309,0.023527056329999997
19,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0203000551878497,-0.0541012167946068,-0.0208767741931843,0.0,3,0.09551640046277532,7.164748545999999,-76.28267896999999,-24.26621854,0.01963990176,0.05520096822,0.02356442266
20,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0203264875513756,-0.0541716610873081,-0.020903957492915,0.0,3,0.0958497337969365,6.630540074000001,-76.28944442,-24.31461807,0.019746631690000002,0.055242351210000006,0.02360374535
21,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0203529199149014,-0.0542421053800094,-0.0209311407926457,0.0,3,0.09618422453740129,6.075470137999999,-76.28713847,-24.36497444,0.01985514999,0.05528761193,0.023644650519999998
22,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0203793522784273,-0.0543125496727107,-0.0209583240923764,0.0,3,0.09651292824082904,5.528577451,-76.31732159,-24.42328435,0.01995707605,0.05530889082,0.02367412059
23,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0204057846419531,-0.054382993965412,-0.0209855073921071,0.0,3,0.09684857638897719,4.986298653,-76.31655112,-24.469455149999998,0.020067051359999998,0.055347830560000005,0.02371271805
24,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.020432217005479,-0.0544534382581133,-0.0210126906918378,0.0,3,0.09718422453712534,4.415326798,-76.31305671,-24.52185046,0.020176882530000002,0.05538624921,0.02375051449
25,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0204586493690048,-0.0545238825508146,-0.0210398739915685,0.0,3,0.0975198726852735,3.819531963,-76.30007853000001,-24.57726784,0.02028837628,0.05542817189,0.02378965007
26,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0204850817325307,-0.0545943268435159,-0.0210670572912992,0.0,3,0.09786246527814203,3.271141469,-76.26293009,-24.61118629,0.02040893699,0.05548269396,0.02383671059
27,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0205115140960565,-0.0546647711362172,-0.0210942405910299,0.0,3,0.09819811342629019,2.671821573,-76.25857144,-24.66919185,0.02051922153,0.05551331323,0.0238706253
28,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0205379464595823,-0.0547352154289186,-0.0211214238907607,0.0,3,0.09853260416675497,2.041004396,-76.25233967,-24.73465493,0.020628712070000003,0.05554199872,0.02390296428
29,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0205643788231082,-0.0548056597216199,-0.0211486071904914,0.0,3,0.09887288194425681,1.434956583,-76.21918731,-24.78387608,0.02074696372,0.05558495215,0.02394350159
30,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.020590811186634,-0.0548761040143212,-0.0211757904902221,0.0,3,0.09921200231545502,0.8204968602,-76.19377875,-24.83735168,0.020863166350000004,0.05561980339,0.02397998484
31,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0206172435501599,-0.0549465483070225,-0.0212029737899528,0.0,3,0.0995534375006402,0.1873713571,-76.15396672,-24.890712859999997,0.020982661139999997,0.05566031337,0.02401917295
32,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0206436759136857,-0.0550169925997238,-0.0212301570896835,0.0,3,0.09989140046277532,-0.44873891460000004,-76.12937984,-24.949277310000003,0.02109813252,0.05568790774,0.02405195064
33,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0206701082772116,-0.0550874368924251,-0.0212573403894142,0.0,3,0.10023862268499754,-1.100890438,-76.05378908,-24.99514965,0.021227360540000004,0.05574376851,0.024099228309999998
34,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0206965406407374,-0.0551578811851264,-0.0212845236891449,0.0,3,0.10058237268554944,-1.751803304,-76.00027842,-25.047283940000003,0.021350854739999998,0.05578232105,0.0241379552
35,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0207229730042633,-0.0552283254778277,-0.0213117069888756,0.0,3,0.10092612268610134,-2.428069369,-75.94040943,-25.10394758,0.02147498753,0.055820479660000005,0.02417617007
36,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0207494053677891,-0.055298769770529,-0.0213388902886063,0.0,3,0.10127334490832356,-3.075766629,-75.87351362,-25.14963635,0.021603208199999998,0.05586042635,0.02421642419
37,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.020775837731315,-0.0553692140632304,-0.021366073588337,0.0,3,0.10161362268582537,-3.791053652,-75.8250034,-25.21994595,0.02172190494,0.05588271509,0.02424601702
38,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0208022700948408,-0.0554396583559317,-0.0213932568880677,0.0,3,0.1019585300926809,-4.493809202,-75.75348849,-25.27870903,0.021848350760000003,0.0559157733,0.02428195157
39,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0208287024583667,-0.055510102648633,-0.0214204401877985,0.0,3,0.10230690972258648,-5.187816434,-75.67238194,-25.33130404,0.021978429049999998,0.05595121913,0.024319760170000003
40,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0208551348218925,-0.0555805469413343,-0.0214476234875292,0.0,3,0.1026564467601754,-5.9031935099999995,-75.57360652,-25.383819910000003,0.02211274412,0.05599228963,0.02436043876
41,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0208815671854183,-0.0556509912340356,-0.0214748067872599,0.0,3,0.10300251157471428,-6.637733216,-75.49890612,-25.449059969999997,0.02223808403,0.05601365864,0.02439049981
42,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0209079995489442,-0.0557214355267369,-0.0215019900869906,0.0,3,0.10335436342629017,-7.354514527999999,-75.39212453,-25.4983086,0.022374927200000002,0.056051211399999995,0.02443010842
43,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.02093443191247,-0.0557918798194382,-0.0215291733867213,0.0,3,0.1037015856485124,-8.107248607,-75.29912213,-25.56188784,0.022504569590000002,0.0560740255,0.02446128685
44,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0209608642759959,-0.0558623241121395,-0.021556356686452,0.0,3,0.10405806712944199,-8.859299162,-75.16091177,-25.61033634,0.02264914549,0.05611920196,0.02450509002
45,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0209872966395217,-0.0559327684048408,-0.0215835399861827,0.0,3,0.10440876157471428,-9.61881679,-75.05212889,-25.669808760000002,0.02278312752,0.05614200652,0.024536983249999998
46,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0210137290030476,-0.0560032126975422,-0.0216107232859134,0.0,3,0.1047664004633272,-10.41046093,-74.90063579,-25.7247046,0.02292891806,0.05618261075,0.0245783597
