n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal
45,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041587624649274,-0.0541998845194865,-0.0328613391820028,0.0,3,0.09410089120406795,-51.41443676,-27.42406833,-43.19092569,0.03335385381,0.045133702910000004,0.04114753924
46,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041640002010293,-0.0542681463387805,-0.0329027262590582,0.0,3,0.09453491898184574,-51.968220220000006,-26.713136570000003,-43.08134492999999,0.03364088555,0.04498648422,0.041253459220000004
47,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041692379371313,-0.0543364081580746,-0.0329441133361136,0.0,3,0.0949515856485124,-52.54911761,-26.06687158,-43.02226275,0.03387580061,0.04482644211,0.04130461875
48,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041744756732332,-0.0544046699773687,-0.0329855004131691,0.0,3,0.09538329861092347,-53.11110495,-25.36465207,-42.924768240000006,0.03414698475,0.04466520535,0.04138690638
49,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041797134093351,-0.0544729317966627,-0.0330268874902245,0.0,3,0.09582427083342164,-53.67089071,-24.62787875,-42.80894099,0.034435113180000004,0.04449838695,0.041479483549999994
50,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.004184951145437,-0.0545411936159568,-0.0330682745672799,0.0,3,0.09626061342656612,-54.241137710000004,-23.90788395,-42.709197270000004,0.03470470682,0.04432329644,0.0415502092
51,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.004190188881539,-0.0546094554352509,-0.0331096616443353,0.0,3,0.09670621527841798,-54.82612057,-23.154106040000002,-42.60024968,0.03498258699,0.04413949271,0.041620227630000006
52,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0041954266176409,-0.0546777172545449,-0.0331510487213907,0.0,3,0.09714950231490312,-55.412005799999996,-22.41105482,-42.49942257,0.0352487234,0.043949269390000004,0.041676553309999996
53,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042006643537428,-0.054745979073839,-0.0331924357984462,0.0,3,0.09760899305619575,-55.96857828,-21.606732830000002,-42.352380890000006,0.03555861674,0.043754931829999996,0.04176907777
54,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042059020898447,-0.054814240893133,-0.0332338228755016,0.0,3,0.09806038194508465,-56.5649887,-20.8290641,-42.241953759999994,0.03582885732,0.04354908448,0.04181766415
55,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042111398259467,-0.0548825027124271,-0.033275209952557,0.0,3,0.09852450231573096,-57.12419312,-20.00968756,-42.09188612,0.03613505263,0.04333946072,0.04189731795
56,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042163775620486,-0.0549507645317212,-0.0333165970296124,0.0,3,0.09899209490804761,-57.71539737,-19.17427628,-41.95171781,0.03642869235,0.04311762402,0.041955512119999996
57,1.0,-5.456279102378399,-81.24118285899041,-15.421134295732186,0.0042216152981505,-0.0550190263510152,-0.0333579841066678,0.0,3,0.09946894675907163,-58.29606062,-18.30297231,-41.788994030000005,0.03674137934,0.04288726869000001,0.04202500836
