n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal,v_mag,target
1,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0198242726443845,-0.0528332195259832,-0.0203874747980315,0.0,3,0.0896136226849975,15.31946769,-75.7168023,-23.51677487,0.0178783432499999,0.05446292778,0.022852131,0.05999999999999995,0
2,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0198507050079103,-0.0529036638186845,-0.0204146580977622,0.0,3,0.0899388541667549,14.93951001,-75.75548058,-23.54791972,0.01797066042,0.05450908147,0.0228948801399999,0.06007999999999992,0
3,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0198771373714362,-0.0529741081113858,-0.0204418413974929,0.0,3,0.0902594560191587,14.52795325,-75.81717956,-23.59402153,0.01805867206,0.05454050197,0.02292983577,0.06015999999999993,0
4,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.019903569734962,-0.0530445524040871,-0.0204690246972236,0.0,3,0.0905881597225864,14.12753937,-75.83974323000001,-23.62347691,0.01815461285,0.05459629384,0.02297683143,0.0602399999999999,0
5,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0199300020984879,-0.0531149966967884,-0.0204962079969544,0.0,3,0.0909157060183308,13.7228117,-75.87037500000001,-23.65607737,0.01825001659,0.0546452963399999,0.02302064969,0.060319999999999936,0
6,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0199564344620137,-0.0531854409894897,-0.0205233912966851,0.0,3,0.0912351504630512,13.30690507,-75.93663382,-23.70283621,0.01833964163,0.05466919862,0.02305234585,0.060399999999999905,0
7,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0199828668255396,-0.053255885282191,-0.0205505745964158,0.0,3,0.0915603819448087,12.86421926,-75.98267208,-23.74886958,0.01843236149,0.05470706404,0.02309003127,0.060479999999999916,0
8,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0200092991890654,-0.0533263295748923,-0.0205777578961465,0.0,3,0.0918879282405531,12.43625006,-76.01248692,-23.78507497,0.01852954564,0.05475322093,0.02313229109,0.060559999999999885,0
9,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0200357315525913,-0.0533967738675937,-0.0206049411958772,0.0,3,0.0922154745376772,12.00719625,-76.04828672,-23.82290121,0.01862648119,0.05479365745,0.02317195576,0.06063999999999998,0
10,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0200621639161171,-0.053467218160295,-0.0206321244956079,0.0,3,0.0925395486117513,11.55363941,-76.0965822,-23.87051316,0.01872078469,0.05482532788,0.02320685525,0.06071999999999995,0
11,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.020088596279643,-0.0535376624529963,-0.0206593077953386,0.0,3,0.092868252315179,11.10793156,-76.12830493,-23.90988762,0.01881937579,0.0548659081,0.02324644059,0.06079999999999996,0
12,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0201150286431688,-0.0536081067456976,-0.0206864910950693,0.0,3,0.0931981134262901,10.62553516,-76.15163126,-23.9552425,0.01891877303,0.0549121448,0.02328786749,0.06087999999999993,0
