n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal,v_mag,target
566,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0347585580364875,-0.0926342449022239,-0.035746039145882,0.0,3,115.9362687152776,-2.70728729,-11.7976326,56.84995526,-0.1624410174,-0.009780263612,-0.06354530451,0.10519999999999997,0
567,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0347849904000134,-0.0927046891949252,-0.0357732224456127,0.0,1,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10527999999999996,1
568,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0348114227635392,-0.0927751334876265,-0.0358004057453434,0.0,2,57.48969695601888,244.9878629,-320.0750352,-17.6098115,0.01502521325,0.1544787505,-0.05122031003,0.10535999999999994,0
569,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0348378551270651,-0.0928455777803278,-0.0358275890450741,0.0,2,77.08647936342629,-127.9643668,-379.8837633,-8.923316363,0.132209359,0.1620891706,-0.04577765733,0.10543999999999995,0
570,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0348642874905909,-0.0929160220730291,-0.0358547723448048,0.0,2,686.74596431713,-243.7965009,-311.3427368,-61.48680541,0.1018121724999999,-0.06932008816,0.05651190857,0.10551999999999992,0
571,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0348907198541168,-0.0929864663657304,-0.0358819556445355,0.0,2,78.50263561342602,-58.22193357,-393.5386953,-33.68131213,0.1225953709,0.1122790784999999,-0.0333765883,0.10559999999999993,0
572,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0349171522176426,-0.0930569106584317,-0.0359091389442662,0.0,2,89.83932890046388,-378.0477462,137.6874702,-50.74963106,0.01979309219,-0.1234493409,0.02818690339,0.1056799999999999,0
573,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0349435845811685,-0.093127354951133,-0.0359363222439969,0.0,3,68.18667959490722,3.726629569,-33.3341468,-52.77888154,-0.07983497732,-0.05671841766,0.06276725301,0.1057599999999999,0
574,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0349700169446943,-0.0931977992438344,-0.0359635055437276,0.0,1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10583999999999996,1
575,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0349964493082202,-0.0932682435365357,-0.0359906888434584,0.0,2,74.37600135416758,66.48670266,394.7746191,13.17377755,0.0823146822,-0.4259662284,-0.04394030495,0.10592000000000001,0
